"","Year","Predator","WEP_age","M_t","M_N"
"110",2019,"PC","0",4.85,436537.837837838
"111",2019,"PC","3+",253520.49,397991357.89011
"112",2019,"PC","1",1932.36,27803733.4820144
"113",1993,"PH","3+",1428180.84,2242042138.93878
"114",1993,"PH","1",75141.26,1081169255.66906
"115",1993,"PH","0",19515.86,1758185985.94595
"116",1993,"PH","2",27428.66,105902154.003861
"117",1996,"PH","3+",1550573.38,2434181135.25275
"118",1996,"PH","1",170463.89,2452717779.91367
"119",1996,"PH","0",8566.75,771779064.504505
"120",1996,"PH","2",48374.65,186774698.606178
"121",1999,"PH","3+",1752485.28,2751154287.02041
"122",1999,"PH","1",156867.82,2257090927.33813
"123",1999,"PH","0",246.68,22223063.8738739
"124",1999,"PH","2",71087.45,274468925.606178
"125",2001,"PH","3+",911671.92,1431196099.21036
"126",2001,"PH","1",67830.03,975971640.172662
"127",2001,"PH","0",25.38,2286335.31531532
"128",2001,"PH","2",43573.29,168236648.72973
"129",2003,"PH","3+",889423.73,1396269589.92308
"130",2003,"PH","1",60528.68,870916215.453237
"131",2003,"PH","0",19.9,1792622.52252252
"132",2003,"PH","2",49936.07,192803359.023166
"133",2005,"PH","3+",386792.94,607210265.11146
"134",2005,"PH","1",20784.17,299052748.100719
"135",2005,"PH","0",1197.15,107851106.846847
"136",2005,"PH","2",13600.87,52513022.1312741
"137",2007,"PH","3+",506408.75,794990188.411303
"138",2007,"PH","1",49956.03,718791728.417266
"139",2007,"PH","0",597.64,53841197.2972973
"140",2007,"PH","2",31707.02,122420935.594595
"141",2009,"PH","3+",398861.63,626156399.211931
"142",2009,"PH","1",38493.87,553868612.992806
"143",2009,"PH","0",5681.28,511827035.765766
"144",2009,"PH","2",20079.33,77526359.5598456
"145",2011,"PH","3+",389167.17,610937476.466248
"146",2011,"PH","1",19587.83,281839333.179856
"147",2011,"PH","0",1242.09,111899878.198198
"148",2011,"PH","2",13604.58,52527339.8996139
"149",2013,"PH","3+",700651.69,1099924164.24647
"150",2013,"PH","1",11969.39,172221445.208633
"151",2013,"PH","0",2029.36,182824797.657658
"152",2013,"PH","2",18502.99,71440117.4710425
"153",2015,"PH","3+",442867.86,695239971.653061
"154",2015,"PH","1",3482.87,50113288.3021583
